timestep,temp_air,rh,wind_dir,wind_speed,dni,dhi
434,17.6,88,20,6.2,0,0
435,17.2,90,20,5.8,0,0
436,16.8,91,20,5.5,0,0
437,16.4,92,10,5.1,0,0
438,19.0,84,10,5.5,0,34
439,21.6,76,10,5.8,169,129
440,24.2,69,350,6.2,412,196
441,27.1,62,350,5.4,646,191
442,30.0,46,300,4.6,724,231
443,27.1,69,180,4.6,808,212
444,28.0,58,180,4.6,886,167
445,28.0,55,180,5.1,881,168
446,29.0,48,190,5.1,824,186
447,27.8,62,190,4.8,646,256
448,26.6,66,190,4.4,495,236
449,25.4,69,140,4.1,228,211
450,24.6,74,140,3.8,76,112
451,23.8,80,140,3.4,0,18
452,23.0,85,120,3.1,0,0
453,22.8,87,120,2.9,0,0
454,22.6,89,120,2.8,0,0
455,22.4,90,110,2.6,0,0
456,21.6,88,110,2.8,0,0
457,20.8,85,110,2.9,0,0
458,20.0,82,30,3.1,0,0
459,20.3,79,30,4.5,0,0
460,20.7,76,30,5.8,0,0
461,21.0,83,10,7.2,0,0
462,22.0,67,10,7.4,0,31
463,23.0,65,350,7.7,152,125
464,25.8,50,360,10.3,335,221
465,27.4,50,360,6.7,467,274
466,29.0,45,180,3.1,420,389
467,28.0,55,160,4.1,410,403
468,28.0,51,180,6.2,228,499
469,26.0,61,130,7.7,77,471
470,23.6,86,110,10.3,18,263
471,23.9,82,110,9.3,122,374
472,24.3,78,110,8.2,228,312
473,24.6,74,120,7.2,144,251
474,23.9,74,120,6.5,87,112
475,23.3,74,120,5.8,0,18
476,22.6,74,60,5.1,0,0
477,22.1,78,60,5.1,0,0
478,21.7,83,60,5.1,0,0
479,21.2,88,30,5.1,0,0
480,21.3,87,30,4.3,0,0
481,21.5,86,30,3.4,0,0
482,21.6,86,30,2.6,0,0
483,21.7,85,30,1.7,0,0
484,21.9,84,30,0.8,0,0
485,22.0,84,0,0.0,0,0
486,20.0,94,50,2.1,0,26
487,21.8,86,50,3.6,115,128
488,23.6,78,140,5.1,359,204
489,23.8,78,140,4.9,595,220
490,24.0,74,110,4.6,715,234
491,25.3,72,130,5.7,812,208
492,25.0,74,120,7.2,883,168
493,26.0,74,130,7.2,876,171
494,25.7,72,130,7.6,838,177
495,25.4,73,130,8.0,745,194
496,25.2,75,130,8.3,615,188
497,24.9,77,120,8.7,363,186
498,24.3,78,120,7.9,112,112
499,23.8,79,120,7.2,0,18
500,23.2,80,120,6.4,0,0
501,22.7,81,120,5.6,0,0
502,22.2,82,120,4.9,0,0
503,21.6,83,80,4.1,0,0
504,20.9,88,80,3.8,0,0
505,20.3,94,80,3.4,0,0
506,19.6,100,80,3.1,0,0
507,19.4,98,80,2.8,0,0
508,19.2,97,80,2.4,0,0
509,19.0,95,90,2.1,0,0
510,20.5,88,90,2.4,0,30
511,21.9,83,90,2.8,159,125
512,23.4,77,50,3.1,404,194
513,23.9,76,50,3.4,602,216
514,24.5,75,50,3.8,712,234
515,25.0,74,140,4.1,811,208
516,26.0,70,130,4.1,883,168
517,25.5,71,130,6.7,881,167
518,25.0,74,120,9.3,839,176
519,24.8,73,120,8.6,747,192
520,24.7,73,120,7.9,617,186
521,24.5,73,120,7.2,364,185
522,24.3,72,120,6.5,111,112
523,24.2,71,120,5.8,0,18
524,24.0,70,90,5.1,0,0
525,22.9,74,90,4.9,0,0
526,21.7,77,90,4.8,0,0
527,20.6,80,60,4.6,0,0
528,20.1,83,60,4.3,0,0
529,19.5,86,60,3.9,0,0
530,19.0,89,90,3.6,0,0
531,19.0,91,90,3.3,0,0
532,19.0,94,110,3.1,0,0
533,19.4,91,100,2.6,0,0
534,21.0,88,100,3.1,0,28
535,22.0,83,100,4.1,156,124
536,23.0,77,90,7.7,402,193
537,23.5,76,90,7.7,602,215
538,24.0,78,110,7.7,710,234
539,24.4,75,120,7.7,812,207
540,25.0,74,120,10.3,882,167
541,25.0,69,120,11.3,885,164
542,24.2,73,120,10.3,843,173
543,24.0,69,130,11.3,753,189
544,23.4,74,130,10.5,619,185
545,22.9,75,130,9.7,366,184
546,22.3,76,130,8.8,111,111
547,21.8,77,130,8.0,0,18
548,21.2,78,120,7.2,0,0
549,21.0,79,120,6.9,0,0
550,20.8,80,120,6.5,0,0
551,20.6,80,110,6.2,0,0
552,20.5,79,110,6.0,0,0
553,20.5,78,110,5.9,0,0
554,20.4,77,120,5.7,0,0
555,20.4,79,120,5.9,0,0
556,20.4,81,120,6.0,0,0
557,20.4,82,130,6.2,0,0
558,21.0,82,130,6.5,0,27
559,21.6,82,130,6.9,132,124
